task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
108	8a/96356f	274068	kraken_pipeline:progressive_kraken_reports (14)	COMPLETED	0	2023-09-25 06:10:48.967	15.3s	14.1s	103.0%	407.3 MB	2.4 GB	44.1 MB	24.9 MB
109	eb/2f31f6	274057	kraken_pipeline:progressive_stats (14)	COMPLETED	0	2023-09-25 06:10:48.949	15.8s	14.4s	103.0%	415.3 MB	2.4 GB	44.1 MB	25 MB
46	f2/12fd78	273807	kraken_pipeline:kraken2_client (15)	COMPLETED	0	2023-09-25 06:10:47.933	18.6s	18.1s	90.3%	404.8 MB	2.4 GB	55.4 MB	25.7 MB
107	73/4e21bb	272743	kraken_pipeline:progressive_bracken (10)	COMPLETED	0	2023-09-25 06:10:41.507	27.7s	26.4s	114.1%	425.3 MB	2.4 GB	458.2 MB	25 MB
47	4f/8fdbc2	277234	kraken_pipeline:kraken2_client (16)	COMPLETED	0	2023-09-25 06:11:06.505	15.1s	14.5s	105.8%	423.5 MB	2.4 GB	44.1 MB	24.9 MB
111	4e/03c440	277429	kraken_pipeline:progressive_stats (15)	COMPLETED	0	2023-09-25 06:11:07.526	15.8s	14.3s	101.0%	416.3 MB	2.4 GB	44.2 MB	25 MB
112	67/9ba5f3	277439	kraken_pipeline:progressive_kraken_reports (15)	COMPLETED	0	2023-09-25 06:11:07.539	16s	14.3s	100.1%	403.6 MB	2.4 GB	44.1 MB	24.9 MB
113	48/590aaf	278158	kraken_pipeline:makeReport (10)	COMPLETED	0	2023-09-25 06:11:10.262	17.6s	16.1s	98.1%	404.4 MB	2.4 GB	46 MB	27.2 MB
117	4f/7432d4	282649	kraken_pipeline:output (12)	COMPLETED	0	2023-09-25 06:11:28.854	1s	8ms	80.0%	0	0	55.7 KB	201 B
48	f6/067ffe	281083	kraken_pipeline:kraken2_client (17)	COMPLETED	0	2023-09-25 06:11:21.611	14.8s	14.2s	104.1%	412.3 MB	2.4 GB	44.1 MB	24.9 MB
115	61/0aa3cb	281420	kraken_pipeline:progressive_stats (16)	COMPLETED	0	2023-09-25 06:11:23.521	15.4s	14.2s	105.5%	404.7 MB	2.4 GB	44.2 MB	25 MB
114	ef/df9c7d	278167	kraken_pipeline:progressive_bracken (11)	COMPLETED	0	2023-09-25 06:11:10.276	29.6s	28.3s	109.6%	410.2 MB	2.4 GB	458.2 MB	25 MB
116	0e/2bbcc4	281653	kraken_pipeline:progressive_kraken_reports (16)	COMPLETED	0	2023-09-25 06:11:24.539	15.5s	14.2s	104.4%	426.3 MB	2.4 GB	44.1 MB	24.9 MB
49	51/04dcf7	283920	kraken_pipeline:kraken2_client (18)	COMPLETED	0	2023-09-25 06:11:36.375	15s	14.4s	104.4%	404.7 MB	2.4 GB	44.1 MB	24.9 MB
118	01/1272d5	284461	kraken_pipeline:progressive_stats (17)	COMPLETED	0	2023-09-25 06:11:39.906	16.2s	14.9s	104.6%	409.4 MB	2.4 GB	44.2 MB	25 MB
