task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
114	4b/21845b	165768	kraken_pipeline:progressive_kraken_reports (15)	COMPLETED	0	2023-09-25 04:16:17.891	16.6s	14.9s	103.8%	423.6 MB	2.4 GB	44.1 MB	24.9 MB
116	06/b30fa5	166542	kraken_pipeline:makeReport (11)	COMPLETED	0	2023-09-25 04:16:20.307	20.4s	18.8s	103.1%	411.9 MB	2.4 GB	46 MB	27.7 MB
120	f7/7fa6cf	171428	kraken_pipeline:output (13)	COMPLETED	0	2023-09-25 04:16:41.684	1.1s	12ms	45.7%	1020 KB	3.8 MB	55.7 KB	201 B
48	ff/160172	169465	kraken_pipeline:kraken2_client (17)	COMPLETED	0	2023-09-25 04:16:32.204	15.5s	14.9s	103.6%	419.9 MB	2.4 GB	44.1 MB	24.9 MB
118	a9/b3d6d8	169750	kraken_pipeline:progressive_stats (16)	COMPLETED	0	2023-09-25 04:16:34.508	16.2s	14.8s	105.0%	412 MB	2.4 GB	44.2 MB	25 MB
117	73/6ba509	166551	kraken_pipeline:progressive_bracken (12)	COMPLETED	0	2023-09-25 04:16:20.322	30.5s	28.8s	111.5%	418 MB	2.4 GB	458.2 MB	25 MB
119	80/532a7f	170042	kraken_pipeline:progressive_kraken_reports (16)	COMPLETED	0	2023-09-25 04:16:35.550	16.3s	15s	104.1%	409.9 MB	2.4 GB	44.1 MB	24.9 MB
49	f2/67d103	172357	kraken_pipeline:kraken2_client (18)	COMPLETED	0	2023-09-25 04:16:47.680	15.2s	14.6s	105.1%	409.5 MB	2.4 GB	44.1 MB	24.9 MB
121	b6/e62f82	172753	kraken_pipeline:progressive_stats (17)	COMPLETED	0	2023-09-25 04:16:50.846	16.5s	15.1s	105.0%	408.2 MB	2.4 GB	44.2 MB	25 MB
124	b6/65f972	173439	kraken_pipeline:progressive_kraken_reports (17)	COMPLETED	0	2023-09-25 04:16:52.876	16.5s	15.3s	104.0%	414.7 MB	2.4 GB	44.1 MB	24.9 MB
122	de/fc2709	173014	kraken_pipeline:makeReport (12)	COMPLETED	0	2023-09-25 04:16:51.820	21.4s	19.9s	99.6%	405.9 MB	2.4 GB	46.1 MB	27.8 MB
127	9d/7e10b4	178170	kraken_pipeline:output (14)	COMPLETED	0	2023-09-25 04:17:14.265	1s	8ms	80.0%	0	0	55.7 KB	201 B
50	27/96ac76	176085	kraken_pipeline:kraken2_client (19)	COMPLETED	0	2023-09-25 04:17:02.900	15.7s	15.2s	104.2%	416.9 MB	2.4 GB	44.1 MB	24.9 MB
123	68/1d218b	173028	kraken_pipeline:progressive_bracken (13)	COMPLETED	0	2023-09-25 04:16:51.857	31s	29.6s	111.4%	405 MB	2.4 GB	458.2 MB	25 MB
125	dc/4f9840	176887	kraken_pipeline:progressive_stats (18)	COMPLETED	0	2023-09-25 04:17:08.411	16.5s	15s	103.7%	414.7 MB	2.4 GB	44.2 MB	25 MB
126	c1/ce9b55	177220	kraken_pipeline:progressive_kraken_reports (18)	COMPLETED	0	2023-09-25 04:17:10.394	15.8s	14.6s	105.0%	419.8 MB	2.4 GB	44.1 MB	24.9 MB
51	51/009a96	178935	kraken_pipeline:kraken2_client (20)	COMPLETED	0	2023-09-25 04:17:18.623	15.3s	14.7s	104.1%	414.4 MB	2.4 GB	44.1 MB	24.9 MB
