task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
73	54/b5c363	515876	process_run:assemble:subset_references (16)	COMPLETED	0	2023-09-26 01:54:11.840	2.5s	1.1s	190.7%	75.9 MB	2.4 GB	6.2 MB	104.3 KB
75	1e/87ad47	516310	process_run:assemble:subset_references (17)	COMPLETED	0	2023-09-26 01:54:13.450	2.2s	641ms	303.2%	3.1 MB	5.6 MB	5.3 MB	222 B
76	17/c685ce	516464	process_run:assemble:subset_references (18)	COMPLETED	0	2023-09-26 01:54:13.877	2.4s	637ms	280.6%	3.3 MB	5.6 MB	5.3 MB	222 B
77	6f/18190e	516527	process_run:assemble:subset_references (19)	COMPLETED	0	2023-09-26 01:54:14.351	2.1s	703ms	272.0%	3.1 MB	5.6 MB	5.5 MB	222 B
78	62/e6fb1b	516954	process_run:assemble:subset_references (20)	COMPLETED	0	2023-09-26 01:54:15.711	2s	678ms	289.3%	3.2 MB	5.6 MB	5.3 MB	377 B
80	87/8d6f87	517120	process_run:assemble:subset_references (22)	COMPLETED	0	2023-09-26 01:54:16.434	1.8s	617ms	207.9%	3.1 MB	5.6 MB	6.2 MB	222 B
79	a8/542132	517085	process_run:assemble:subset_references (21)	COMPLETED	0	2023-09-26 01:54:16.329	2.5s	1.1s	141.6%	67.8 MB	2.3 GB	7.3 MB	1.3 KB
82	03/5d6f9c	517705	process_run:assemble:check_subset (1)	FAILED	2	2023-09-26 01:54:18.240	1.2s	1.2s	-	-	-	-	-
81	b8/904b7a	517522	process_run:assemble:subset_references (23)	COMPLETED	0	2023-09-26 01:54:17.702	2.5s	931ms	226.3%	3.2 MB	5.6 MB	5.9 MB	104.3 KB
85	36/483990	517888	process_run:assemble:subset_references (26)	COMPLETED	0	2023-09-26 01:54:18.847	2.4s	1.1s	212.2%	64.1 MB	2.3 GB	6.1 MB	104.3 KB
84	5f/c382c5	518058	process_run:assemble:subset_references (25)	COMPLETED	0	2023-09-26 01:54:19.490	2.2s	824ms	232.5%	3.1 MB	5.6 MB	6.8 MB	403 B
86	e3/5dfe6b	518593	process_run:assemble:check_subset (2)	FAILED	2	2023-09-26 01:54:21.300	1.2s	1.1s	-	-	-	-	-
83	e9/cb17a9	518248	process_run:assemble:subset_references (24)	COMPLETED	0	2023-09-26 01:54:20.227	2.7s	1.4s	182.4%	68.8 MB	2.4 GB	7.5 MB	1.3 KB
87	ca/ae7d3d	518671	process_run:assemble:check_subset (3)	COMPLETED	0	2023-09-26 01:54:21.741	1.8s	12ms	103.2%	3.3 MB	5.6 MB	60.5 KB	182 B
89	60/2bb640	519075	process_run:assemble:check_subset (5)	FAILED	2	2023-09-26 01:54:22.901	1.6s	1.5s	-	-	-	-	-
88	cb/3fef3b	518915	process_run:assemble:check_subset (4)	COMPLETED	0	2023-09-26 01:54:22.508	2.1s	16ms	91.4%	3.2 MB	5.6 MB	60.5 KB	181 B
90	f8/135b63	519179	process_run:assemble:check_subset (6)	COMPLETED	0	2023-09-26 01:54:23.555	2s	18ms	37.2%	3.2 MB	5.6 MB	60.5 KB	181 B
91	c7/ccd3ab	519422	process_run:assemble:check_subset (7)	FAILED	2	2023-09-26 01:54:24.535	1.4s	1.3s	-	-	-	-	-
92	0b/49a5a2	519467	process_run:assemble:check_subset (8)	COMPLETED	0	2023-09-26 01:54:24.671	1.8s	13ms	44.4%	3.1 MB	5.6 MB	60.5 KB	181 B
93	53/f7ba7b	519750	process_run:assemble:check_subset (9)	FAILED	2	2023-09-26 01:54:25.536	1.7s	1.6s	-	-	-	-	-
94	4e/690baf	519910	process_run:assemble:check_subset (10)	COMPLETED	0	2023-09-26 01:54:25.966	1.4s	15ms	39.0%	3.1 MB	5.6 MB	60.5 KB	181 B
95	a4/5afee6	520016	process_run:assemble:check_subset (11)	COMPLETED	0	2023-09-26 01:54:26.456	1.6s	13ms	44.4%	3.2 MB	5.6 MB	60.5 KB	181 B
97	be/9801ae	520298	process_run:assemble:check_subset (13)	FAILED	2	2023-09-26 01:54:27.408	1.5s	1.4s	-	-	-	-	-
96	f5/a7ea52	520254	process_run:assemble:check_subset (12)	FAILED	2	2023-09-26 01:54:27.263	1.8s	1.7s	-	-	-	-	-
98	01/eef4c4	520517	process_run:assemble:check_subset (14)	FAILED	2	2023-09-26 01:54:28.071	1.8s	1.7s	-	-	-	-	-
99	76/38451f	520724	process_run:assemble:check_subset (15)	COMPLETED	0	2023-09-26 01:54:28.934	1.8s	19ms	76.2%	3.2 MB	5.6 MB	60.5 KB	181 B
100	4b/a663d5	520769	process_run:assemble:check_subset (16)	COMPLETED	0	2023-09-26 01:54:29.067	1.8s	19ms	78.0%	3.3 MB	5.6 MB	60.5 KB	181 B
101	06/f3754e	520957	process_run:assemble:check_subset (17)	FAILED	2	2023-09-26 01:54:29.850	1.7s	1.6s	-	-	-	-	-
102	8b/b033b3	521221	process_run:assemble:check_subset (18)	FAILED	2	2023-09-26 01:54:30.725	1.7s	1.7s	-	-	-	-	-
103	8f/1f2368	521267	process_run:assemble:check_subset (19)	FAILED	2	2023-09-26 01:54:30.893	1.7s	1.6s	-	-	-	-	-
104	df/ad0fba	521460	process_run:assemble:check_subset (20)	FAILED	2	2023-09-26 01:54:31.547	1.8s	1.7s	-	-	-	-	-
106	95/061c40	521710	process_run:assemble:check_subset (22)	COMPLETED	0	2023-09-26 01:54:32.595	1.6s	14ms	41.0%	3.3 MB	5.6 MB	60.5 KB	181 B
105	77/07bebc	521674	process_run:assemble:check_subset (21)	FAILED	2	2023-09-26 01:54:32.481	1.8s	1.7s	-	-	-	-	-
107	35/7b1648	521896	process_run:assemble:check_subset (23)	COMPLETED	0	2023-09-26 01:54:33.371	1.7s	14ms	42.1%	3.2 MB	5.6 MB	60.5 KB	181 B
108	06/0411c3	522142	process_run:assemble:check_subset (24)	COMPLETED	0	2023-09-26 01:54:34.168	1.5s	17ms	78.0%	3.2 MB	5.6 MB	60.5 KB	181 B
109	d0/5171ba	522177	process_run:assemble:check_subset (25)	FAILED	2	2023-09-26 01:54:34.286	1.5s	1.4s	-	-	-	-	-
